id,data,produto,cliente,quantidade
0,2022-07-02,CAFE,CHIMBALAIE,133
1,2022-11-29,FARINHA,PILAO,142
2,2022-11-24,SAL,PILAO,89
3,2022-09-17,CAFE,CHIMBALAIE,134
4,2022-05-15,BORRACHA,SANTAROSA,134
5,2022-05-19,CAFE,DOLLY,135
6,2022-08-13,PLASTICO,ACALME,131
7,2022-05-26,SABAO,PILAO,76
8,2022-03-20,FARINHA,XOQUE,111
9,2022-05-04,CANETA,PILAO,88
10,2022-04-19,FARINHA,SANTAROSA,127
11,2022-03-06,CANETA,DOLLY,86
12,2022-04-04,SAL,XOQUE,56
13,2022-05-10,CAFE,MACAXEIRA,149
14,2022-06-24,BORRACHA,CHIMBALAIE,88
15,2022-07-15,CAFE,DOLLY,104
16,2022-08-09,SABAO,SANTAROSA,94
17,2022-06-02,BORRACHA,MACAXEIRA,65
18,2022-11-15,PLASTICO,DOLLY,64
19,2022-01-03,FARINHA,SANTAROSA,146
20,2023-01-12,ADESIVO,ACALME,70
21,2022-07-04,SAL,ACALME,139
22,2022-03-26,CANETA,PILAO,107
23,2022-03-21,FARINHA,DOLLY,111
24,2022-09-03,ADESIVO,ACALME,141
25,2022-12-07,CANETA,PILAO,92
26,2022-01-20,SAL,PILAO,60
27,2022-01-20,ADESIVO,ACALME,97
28,2023-01-09,PLASTICO,CHIMBALAIE,141
29,2022-11-18,ADESIVO,XOQUE,86
30,2022-02-02,SAL,PILAO,67
31,2022-09-18,PAPEL,SANTAROSA,74
32,2022-10-24,ADESIVO,XOQUE,113
33,2022-11-30,PAPEL,SANTAROSA,80
34,2022-12-08,SABAO,CHIMBALAIE,119
35,2022-02-08,FARINHA,ACALME,79
36,2023-01-06,BORRACHA,DOLLY,57
37,2022-04-07,PLASTICO,MACAXEIRA,87
38,2023-01-02,PLASTICO,MACAXEIRA,99
39,2022-08-24,CAFE,DOLLY,129
40,2022-05-26,BORRACHA,ACALME,116
41,2023-01-13,PAPEL,ACALME,103
42,2022-01-03,PAPEL,PILAO,50
43,2022-03-10,BORRACHA,DOLLY,111
44,2022-02-12,BORRACHA,ACALME,120
45,2022-05-22,PLASTICO,SANTAROSA,109
46,2022-06-03,PLASTICO,ACALME,130
47,2022-01-23,SAL,DOLLY,51
48,2022-09-10,CANETA,SANTAROSA,55
49,2022-03-21,SAL,DOLLY,104
50,2022-02-14,CAFE,SANTAROSA,63
51,2022-07-29,CAFE,SANTAROSA,105
52,2022-05-26,ADESIVO,PILAO,82
53,2022-11-07,CANETA,CHIMBALAIE,141
54,2022-11-20,SAL,SANTAROSA,107
55,2022-07-14,ADESIVO,CHIMBALAIE,124
56,2022-01-20,PAPEL,XOQUE,98
57,2022-10-17,BORRACHA,CHIMBALAIE,122
58,2022-06-13,CAFE,XOQUE,92
59,2023-01-12,CANETA,MACAXEIRA,97
60,2022-06-09,CAFE,MACAXEIRA,109
61,2022-09-18,SABAO,DOLLY,54
62,2023-01-25,CAFE,SANTAROSA,97
63,2022-09-18,BORRACHA,MACAXEIRA,120
64,2022-10-13,ADESIVO,DOLLY,82
65,2022-11-08,FARINHA,XOQUE,122
66,2022-11-30,CAFE,MACAXEIRA,57
67,2022-12-16,SAL,PILAO,66
68,2022-03-21,SAL,XOQUE,127
69,2022-08-13,PLASTICO,CHIMBALAIE,61
70,2022-02-24,SAL,PILAO,58
71,2023-01-20,SAL,PILAO,132
72,2022-06-19,FARINHA,CHIMBALAIE,68
73,2022-07-16,SABAO,PILAO,81
74,2022-05-26,CAFE,XOQUE,68
75,2022-05-09,CAFE,SANTAROSA,103
76,2022-12-05,CANETA,XOQUE,57
77,2022-08-24,PLASTICO,PILAO,108
78,2023-01-03,ADESIVO,ACALME,117
79,2022-09-08,PLASTICO,CHIMBALAIE,125
80,2022-11-10,CANETA,CHIMBALAIE,132
81,2023-01-10,CAFE,PILAO,127
82,2023-01-16,CAFE,XOQUE,99
83,2022-08-12,BORRACHA,SANTAROSA,90
84,2023-01-30,CANETA,DOLLY,51
85,2022-11-03,PAPEL,XOQUE,93
86,2022-05-16,SAL,SANTAROSA,147
87,2022-08-03,CAFE,SANTAROSA,144
88,2022-09-09,PLASTICO,MACAXEIRA,71
89,2022-08-28,PLASTICO,ACALME,136
90,2022-07-02,ADESIVO,ACALME,76
91,2022-07-09,SAL,PILAO,100
92,2022-05-09,CANETA,DOLLY,110
93,2023-01-04,ADESIVO,MACAXEIRA,51
94,2022-05-31,BORRACHA,CHIMBALAIE,51
95,2022-12-22,CANETA,PILAO,134
96,2022-02-05,SAL,CHIMBALAIE,114
97,2022-12-21,SAL,PILAO,113
98,2022-10-12,SAL,SANTAROSA,130
99,2022-05-28,BORRACHA,CHIMBALAIE,81
100,2023-01-23,FARINHA,PILAO,89
101,2022-03-19,BORRACHA,XOQUE,130
102,2022-05-02,FARINHA,CHIMBALAIE,137
103,2022-12-12,ADESIVO,PILAO,93
104,2023-01-15,PAPEL,CHIMBALAIE,129
105,2023-01-17,SABAO,ACALME,80
106,2022-08-01,ADESIVO,MACAXEIRA,89
107,2022-12-31,SABAO,CHIMBALAIE,59
108,2023-01-07,BORRACHA,PILAO,98
109,2022-12-21,PLASTICO,DOLLY,125
110,2022-08-01,CANETA,SANTAROSA,105
111,2022-02-27,CANETA,XOQUE,89
112,2022-04-27,CAFE,PILAO,123
113,2022-07-31,PAPEL,SANTAROSA,148
114,2022-12-05,CANETA,MACAXEIRA,88
115,2022-01-30,ADESIVO,CHIMBALAIE,148
116,2022-09-30,PAPEL,SANTAROSA,62
117,2022-02-28,ADESIVO,XOQUE,140
118,2023-01-21,FARINHA,MACAXEIRA,142
119,2022-11-25,PAPEL,SANTAROSA,61
120,2022-07-05,CANETA,MACAXEIRA,86
121,2022-10-01,PAPEL,CHIMBALAIE,81
122,2022-03-19,PAPEL,PILAO,70
123,2022-09-12,SABAO,XOQUE,75
124,2022-07-08,ADESIVO,MACAXEIRA,54
125,2022-11-27,SAL,SANTAROSA,144
126,2022-09-25,FARINHA,XOQUE,126
127,2022-12-18,SAL,DOLLY,81
128,2022-03-13,PLASTICO,CHIMBALAIE,135
129,2022-05-18,FARINHA,CHIMBALAIE,57
130,2022-12-27,BORRACHA,ACALME,95
131,2022-07-04,ADESIVO,SANTAROSA,107
132,2022-06-01,PAPEL,CHIMBALAIE,117
133,2022-04-09,CANETA,DOLLY,91
134,2022-08-01,FARINHA,SANTAROSA,70
135,2022-09-06,CAFE,DOLLY,101
136,2022-09-15,ADESIVO,MACAXEIRA,143
137,2022-01-09,ADESIVO,XOQUE,148
138,2022-04-28,PAPEL,CHIMBALAIE,90
139,2022-01-27,CANETA,ACALME,58
140,2022-03-04,FARINHA,ACALME,77
141,2023-01-21,CANETA,ACALME,134
142,2023-01-13,BORRACHA,CHIMBALAIE,122
143,2022-12-11,PLASTICO,MACAXEIRA,82
144,2022-12-23,ADESIVO,CHIMBALAIE,148
145,2023-01-30,FARINHA,CHIMBALAIE,109
146,2022-11-01,SAL,MACAXEIRA,120
147,2022-05-05,FARINHA,CHIMBALAIE,67
148,2022-04-29,FARINHA,DOLLY,50
149,2022-05-23,SAL,PILAO,94
150,2022-07-28,PLASTICO,ACALME,84
151,2022-07-15,SABAO,CHIMBALAIE,53
152,2022-08-08,PAPEL,CHIMBALAIE,105
153,2022-11-19,FARINHA,MACAXEIRA,100
154,2023-01-24,PLASTICO,PILAO,144
155,2023-01-08,FARINHA,XOQUE,50
156,2023-01-17,PLASTICO,DOLLY,74
157,2022-09-03,CAFE,MACAXEIRA,52
158,2022-02-07,CAFE,XOQUE,72
159,2022-04-08,SAL,CHIMBALAIE,126
160,2022-11-26,FARINHA,DOLLY,121
161,2022-08-19,CANETA,SANTAROSA,89
162,2022-03-05,PAPEL,DOLLY,54
163,2023-01-08,CANETA,XOQUE,144
164,2022-12-21,BORRACHA,XOQUE,112
165,2022-03-14,FARINHA,CHIMBALAIE,91
166,2022-09-20,SAL,DOLLY,147
167,2022-03-26,PAPEL,DOLLY,54
168,2022-10-05,BORRACHA,DOLLY,101
169,2022-11-25,SAL,PILAO,136
170,2022-11-27,ADESIVO,XOQUE,81
171,2022-02-24,CANETA,DOLLY,131
172,2022-02-06,SAL,MACAXEIRA,121
173,2022-04-02,FARINHA,DOLLY,71
174,2022-08-27,CAFE,SANTAROSA,50
175,2023-01-12,CAFE,ACALME,97
176,2022-04-26,CAFE,MACAXEIRA,93
177,2022-11-06,ADESIVO,SANTAROSA,63
178,2022-02-03,SAL,PILAO,121
179,2023-01-21,CAFE,ACALME,122
180,2022-08-09,FARINHA,CHIMBALAIE,62
181,2022-12-31,SABAO,PILAO,51
182,2023-01-18,SABAO,SANTAROSA,147
183,2022-01-17,CANETA,CHIMBALAIE,149
184,2022-02-10,SAL,MACAXEIRA,126
185,2022-05-03,FARINHA,ACALME,62
186,2022-03-29,FARINHA,MACAXEIRA,99
187,2022-11-24,PLASTICO,SANTAROSA,131
188,2022-11-06,CAFE,ACALME,77
